Well,Plate,Library,Replica,LibRep,LibRepPlateWell,Row,Column,Compound,Supplier.order.no.,EMBL.CBCF.Id,Supplier,Strain,ID,Environment,Product..common.name.,Family,Target,Specific.Target,Chem.ID,AUC
E7,1,PS1,1,PS1-Rep1,PS1-1-1-E7,E,7,FOLPET,32057-250MG,555103,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Phthalimide,Fungicide,,77,51.00840015
E8,1,PS1,1,PS1-Rep1,PS1-1-1-E8,E,8,DMSO,,153353,Roth,74,Neobacillus 1,Pristine,NA,NA,NA,NA,NA,57.3199155
E9,1,PS1,1,PS1-Rep1,PS1-1-1-E9,E,9,PERMETHRIN (MIXTURE OF CIS AND TRANS ISOMERE),45614-250MG,473253,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Pyrethroid,Insecticide,,167,48.87751283
F1,1,PS1,1,PS1-Rep1,PS1-1-1-F1,F,1,ETONFENPROX,34094-100MG,555306,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Pyrethroid,Insecticide,,54,41.84190312
F10,1,PS1,1,PS1-Rep1,PS1-1-1-F10,F,10,LINDAN,45548-250MG,473227,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Organochlorine,Insecticide,,152,49.43178373
F11,1,PS1,1,PS1-Rep1,PS1-1-1-F11,F,11,CLOTHIANIDIN,33589-100MG,555256,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Neonicotinoid,Insecticide,,35,44.71442649
F12,1,PS1,1,PS1-Rep1,PS1-1-1-F12,F,12,BIXAFEN,32581-100MG,555172,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Pyrazoles,Fungicide,,16,39.44853215
F2,1,PS1,1,PS1-Rep1,PS1-1-1-F2,F,2,BUPROFEZIN,37886-100MG,555584,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,Insecticide,"mealybugs, leafhoppers and whitefly",20,43.26568605
F3,1,PS1,1,PS1-Rep1,PS1-1-1-F3,F,3,METALAXYL,32012-100MG,555092,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Acylalanine,Fungicide,,100,50.25932368
F4,1,PS1,1,PS1-Rep1,PS1-1-1-F4,F,4,DMSO,,153353,Roth,74,Neobacillus 1,Pristine,NA,NA,NA,NA,NA,52.81689006
F5,1,PS1,1,PS1-Rep1,PS1-1-1-F5,F,5,FLUOPICOLIDE,41132-100MG,555605,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Acylpicolide,Fungicide,,71,52.93485465
F6,1,PS1,1,PS1-Rep1,PS1-1-1-F6,F,6,SPINOSAD (MIXTURE OF SPINOSYN A UND D),33706-50MG,555050,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,Insecticide,,138,47.77310805
